condition,n,accuracy,macro_f1,hallucinated_recall
A_reranked,300,0.5866666666666667,0.5812885507181127,0.8974358974358975
B_no_reranker,300,0.5866666666666667,0.5812885507181127,0.8974358974358975
C_faiss_top1,300,0.51,0.48739407887854386,0.9230769230769231
D_no_correction_REUSED,2700,0.5588888888888889,0.5588859239245916,0.8038176033934252
E_verify_only_REUSED,2700,0.4874074074074074,0.48108619734832936,0.855779427359491
